"Statistic Label","Census Year","Electoral Divisions","UNIT","VALUE"
"Population - 2022","2022","Agha, Carlow","Number","419"
"Population - 2022","2022","Ballinacarrig, Carlow","Number","1122"
"Population - 2022","2022","Ballintemple, Carlow","Number","599"
"Population - 2022","2022","Ballon, Carlow","Number","788"
"Population - 2022","2022","Ballyellin, Carlow","Number","451"
"Population - 2022","2022","Ballymoon, Carlow","Number","351"
"Population - 2022","2022","Ballymurphy, Carlow","Number","282"
"Population - 2022","2022","Borris, Carlow","Number","1084"
"Population - 2022","2022","Burton Hall, Carlow","Number","529"
"Population - 2022","2022","Carlow Rural, Carlow","Number","16203"
"Population - 2022","2022","Carlow Urban, Carlow","Number","5049"
"Population - 2022","2022","Clogrenan, Carlow","Number","1138"
"Population - 2022","2022","Clonegall, Carlow","Number","1105"
"Population - 2022","2022","Clonmore, Carlow","Number","548"
"Population - 2022","2022","Coonogue, Carlow","Number","211"
"Population - 2022","2022","Corries, Carlow","Number","560"
"Population - 2022","2022","Cranemore, Carlow","Number","1218"
"Population - 2022","2022","Fennagh, Carlow","Number","857"
"Population - 2022","2022","Garryhill, Carlow","Number","648"
"Population - 2022","2022","Glynn, Carlow","Number","395"
"Population - 2022","2022","Graigue Urban, Carlow","Number","1655"
"Population - 2022","2022","Grangeford, Carlow","Number","589"
"Population - 2022","2022","Hacketstown, Carlow","Number","1226"
"Population - 2022","2022","Haroldstown, Carlow","Number","314"
"Population - 2022","2022","Johnstown, Carlow","Number","610"
"Population - 2022","2022","Kellistown, Carlow","Number","982"
"Population - 2022","2022","Kilbride, Carlow","Number","458"
"Population - 2022","2022","Killedmond, Carlow","Number","458"
"Population - 2022","2022","Killerrig, Carlow","Number","395"
"Population - 2022","2022","Kineagh, Carlow","Number","371"
"Population - 2022","2022","Kyle, Carlow","Number","360"
"Population - 2022","2022","Leighlinbridge, Carlow","Number","1679"
"Population - 2022","2022","Marley, Carlow","Number","433"
"Population - 2022","2022","Muinebeag Rural, Carlow","Number","719"
"Population - 2022","2022","Muinebeag Urban, Carlow","Number","2945"
"Population - 2022","2022","Myshall, Carlow","Number","603"
"Population - 2022","2022","Nurney, Carlow","Number","893"
"Population - 2022","2022","Oldleighlin, Carlow","Number","606"
"Population - 2022","2022","Rahill, Carlow","Number","792"
"Population - 2022","2022","Rathanna, Carlow","Number","137"
"Population - 2022","2022","Rathornan, Carlow","Number","438"
"Population - 2022","2022","Rathrush, Carlow","Number","1139"
"Population - 2022","2022","Rathvilly, Carlow","Number","931"
"Population - 2022","2022","Ridge, Carlow","Number","298"
"Population - 2022","2022","Shangarry, Carlow","Number","568"
"Population - 2022","2022","Sliguff, Carlow","Number","559"
"Population - 2022","2022","Tankardstown, Carlow","Number","487"
"Population - 2022","2022","Templepeter, Carlow","Number","470"
"Population - 2022","2022","Tiknock, Carlow","Number","348"
"Population - 2022","2022","Tinnahinch, Carlow","Number","654"
"Population - 2022","2022","Tullow Rural, Carlow","Number","952"
"Population - 2022","2022","Tullow Urban, Carlow","Number","4397"
"Population - 2022","2022","Tullowbeg, Carlow","Number","618"
"Population - 2022","2022","Williamstown, Carlow","Number","327"
"Population - 2022","2022","Arran Quay A, Dublin City","Number","1784"
"Population - 2022","2022","Arran Quay B, Dublin City","Number","5529"
"Population - 2022","2022","Arran Quay C, Dublin City","Number","4646"
"Population - 2022","2022","Arran Quay D, Dublin City","Number","3308"
"Population - 2022","2022","Arran Quay E, Dublin City","Number","3377"
"Population - 2022","2022","Ashtown A, Dublin City","Number","12094"
"Population - 2022","2022","Ashtown B, Dublin City","Number","2843"
"Population - 2022","2022","Ayrfield, Dublin City","Number","5863"
"Population - 2022","2022","Ballybough A, Dublin City","Number","4004"
"Population - 2022","2022","Ballybough B, Dublin City","Number","4184"
"Population - 2022","2022","Ballygall A, Dublin City","Number","3602"
"Population - 2022","2022","Ballygall B, Dublin City","Number","1930"
"Population - 2022","2022","Ballygall C, Dublin City","Number","3646"
"Population - 2022","2022","Ballygall D, Dublin City","Number","2526"
"Population - 2022","2022","Ballymun A, Dublin City","Number","5735"
"Population - 2022","2022","Ballymun B, Dublin City","Number","4273"
"Population - 2022","2022","Ballymun C, Dublin City","Number","5729"
"Population - 2022","2022","Ballymun D, Dublin City","Number","2551"
"Population - 2022","2022","Ballymun E, Dublin City","Number","1674"
"Population - 2022","2022","Ballymun F, Dublin City","Number","2359"
"Population - 2022","2022","Beaumont A, Dublin City","Number","2668"
"Population - 2022","2022","Beaumont B, Dublin City","Number","5103"
"Population - 2022","2022","Beaumont C, Dublin City","Number","3382"
"Population - 2022","2022","Beaumont D, Dublin City","Number","2085"
"Population - 2022","2022","Beaumont E, Dublin City","Number","1941"
"Population - 2022","2022","Beaumont F, Dublin City","Number","3893"
"Population - 2022","2022","Botanic A, Dublin City","Number","3331"
"Population - 2022","2022","Botanic B, Dublin City","Number","3606"
"Population - 2022","2022","Botanic C, Dublin City","Number","2362"
"Population - 2022","2022","Cabra East A, Dublin City","Number","5910"
"Population - 2022","2022","Cabra East B, Dublin City","Number","3746"
"Population - 2022","2022","Cabra East C, Dublin City","Number","4239"
"Population - 2022","2022","Cabra West A, Dublin City","Number","1441"
"Population - 2022","2022","Cabra West B, Dublin City","Number","2646"
"Population - 2022","2022","Cabra West C, Dublin City","Number","2883"
"Population - 2022","2022","Cabra West D, Dublin City","Number","2816"
"Population - 2022","2022","Carna, Dublin City","Number","2897"
"Population - 2022","2022","Chapelizod, Dublin City","Number","3397"
"Population - 2022","2022","Cherry Orchard A, Dublin City","Number","3465"
"Population - 2022","2022","Cherry Orchard C, Dublin City","Number","4815"
"Population - 2022","2022","Clontarf East A, Dublin City","Number","3626"
"Population - 2022","2022","Clontarf East B, Dublin City","Number","7204"
"Population - 2022","2022","Clontarf East C, Dublin City","Number","3189"
"Population - 2022","2022","Clontarf East D, Dublin City","Number","2859"
"Population - 2022","2022","Clontarf East E, Dublin City","Number","1748"
"Population - 2022","2022","Clontarf West A, Dublin City","Number","3758"
"Population - 2022","2022","Clontarf West B, Dublin City","Number","2395"
"Population - 2022","2022","Clontarf West C, Dublin City","Number","4130"
"Population - 2022","2022","Clontarf West D, Dublin City","Number","2530"
"Population - 2022","2022","Clontarf West E, Dublin City","Number","2483"
"Population - 2022","2022","Crumlin A, Dublin City","Number","3657"
"Population - 2022","2022","Crumlin B, Dublin City","Number","3019"
"Population - 2022","2022","Crumlin C, Dublin City","Number","2364"
"Population - 2022","2022","Crumlin D, Dublin City","Number","4190"
"Population - 2022","2022","Crumlin E, Dublin City","Number","2916"
"Population - 2022","2022","Crumlin F, Dublin City","Number","3141"
"Population - 2022","2022","Decies, Dublin City","Number","2713"
"Population - 2022","2022","Drumcondra South A, Dublin City","Number","5923"
"Population - 2022","2022","Drumcondra South B, Dublin City","Number","1889"
"Population - 2022","2022","Drumcondra South C, Dublin City","Number","3337"
"Population - 2022","2022","Drumfinn, Dublin City","Number","3632"
"Population - 2022","2022","Edenmore, Dublin City","Number","2831"
"Population - 2022","2022","Finglas North A, Dublin City","Number","3205"
"Population - 2022","2022","Finglas North B, Dublin City","Number","2922"
"Population - 2022","2022","Finglas North C, Dublin City","Number","3678"
"Population - 2022","2022","Finglas South A, Dublin City","Number","2909"
"Population - 2022","2022","Finglas South B, Dublin City","Number","4457"
"Population - 2022","2022","Finglas South C, Dublin City","Number","2566"
"Population - 2022","2022","Finglas South D, Dublin City","Number","2543"
"Population - 2022","2022","Grace Park, Dublin City","Number","6272"
"Population - 2022","2022","Grange A, Dublin City","Number","12598"
"Population - 2022","2022","Grange B, Dublin City","Number","7438"
"Population - 2022","2022","Grange C, Dublin City","Number","3086"
"Population - 2022","2022","Grange D, Dublin City","Number","3952"
"Population - 2022","2022","Grange E, Dublin City","Number","2578"
"Population - 2022","2022","Harmonstown A, Dublin City","Number","2848"
"Population - 2022","2022","Harmonstown B, Dublin City","Number","2921"
"Population - 2022","2022","Inchicore A, Dublin City","Number","2557"
"Population - 2022","2022","Inchicore B, Dublin City","Number","2728"
"Population - 2022","2022","Inns Quay A, Dublin City","Number","4033"
"Population - 2022","2022","Inns Quay B, Dublin City","Number","4537"
"Population - 2022","2022","Inns Quay C, Dublin City","Number","3087"
"Population - 2022","2022","Kilmainham A, Dublin City","Number","2646"
"Population - 2022","2022","Kilmainham B, Dublin City","Number","2638"
"Population - 2022","2022","Kilmainham C, Dublin City","Number","4956"
"Population - 2022","2022","Kilmore A, Dublin City","Number","3678"
"Population - 2022","2022","Kilmore B, Dublin City","Number","2546"
"Population - 2022","2022","Kilmore C, Dublin City","Number","1413"
"Population - 2022","2022","Kilmore D, Dublin City","Number","2149"
"Population - 2022","2022","Kimmage A, Dublin City","Number","1903"
"Population - 2022","2022","Kimmage B, Dublin City","Number","3533"
"Population - 2022","2022","Kimmage C, Dublin City","Number","3738"
"Population - 2022","2022","Kimmage D, Dublin City","Number","2533"
"Population - 2022","2022","Kimmage E, Dublin City","Number","3500"
"Population - 2022","2022","Kylemore, Dublin City","Number","2557"
"Population - 2022","2022","Mansion House A, Dublin City","Number","4298"
"Population - 2022","2022","Mansion House B, Dublin City","Number","1021"
